organization_name,org_type,amenity,healthcare,social_facility,address,city,lat,lon,distance_miles
Queens Express Pharmacy,pharmacy,pharmacy,pharmacy,,34-54 Junction Boulevard,,40.7535984,-73.8721053,1.66
Zia Ahmed,doctors,doctors,doctor,,59th Avenue,,40.7352055,-73.8659573,1.66
NYC Dept of Health Corona Sexual Health Clinic,clinic,clinic,,,34-33 Junction Boulevard,,40.7542126,-73.8719778,1.66
CVS Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.7308659,-73.8605915,1.67
Rehabilitation Medical Center,doctors,doctors,doctor,,94-24 59th Avenue,,40.734878,-73.8658236,1.67
Timeless Dentistry,dentist,dentist,dentist,,,,40.7260682,-73.8465144,1.67
Comprehensive Dental,dentist,dentist,dentist,,94-18 59th Avenue,,40.7349258,-73.8660711,1.68
"Babu S. Bangaru, M.D.",doctors,doctors,doctor,,94-22 59th Avenue,,40.7348078,-73.8660103,1.68
Family & Cosmetic Dentistry,dentist,dentist,dentist,,,,40.7278311,-73.8544475,1.68
Physical Therapy,physiotherapist,,physiotherapist,,94-12 59th Avenue,,40.7348344,-73.866237,1.69
Food Distribution Center,social_facility,social_facility,,food_bank,41-42 Murray Street,,40.7617545,-73.8125082,1.7
My Family Pharmacy,pharmacy,pharmacy,pharmacy,,Northern Boulevard,,40.756811,-73.8718526,1.7
Aesthetic & Preventative Medicine Institute,doctors,doctors,doctor,,94-06 59th Avenue,,40.7347769,-73.8666089,1.7
Suboxone Treatment Clinic,clinic,clinic,clinic,,96-18 63rd Drive,Rego Park,40.7302248,-73.8605538,1.7
Mount Sinai Doctors,clinic,clinic,clinic,,99-01 Queens Boulevard,,40.7272936,-73.853759,1.7
Amazing Smiles,dentist,dentist,dentist,,,,40.726909,-73.8526958,1.7
Dr S. Yoon,doctors,doctors,doctor,,,,40.7269577,-73.8527888,1.7
Forest Hills Hematology Oncology,doctors,doctors,doctor,,,,40.726881,-73.8523523,1.7
Advanced Woman's Care,doctors,doctors,doctor,,,,40.735146,-73.866832,1.7
Simon’s Pharmacy,pharmacy,pharmacy,pharmacy,,101-17 Queens Boulevard,,40.7265317,-73.8517315,1.71
DRAD Helpline Inc,clinic,,clinic,,68-38 Yellowstone Boulevard,Queens,40.7255334,-73.8481376,1.72
Med RX Pharmacy,pharmacy,pharmacy,pharmacy,,97-27 Queens Boulevard,,40.7295836,-73.8599944,1.72
Forest Hills Oral Surgery,dentist,dentist,dentist,,,,40.7251422,-73.845374,1.72
PS 201,school,school,,,,,40.7365419,-73.812899,1.72
Queens Pharm,pharmacy,pharmacy,pharmacy,,96-1 63rd Drive,,40.730153,-73.8611628,1.73
Advanced Center for psychotherapy,doctors,doctors,doctor,,,,40.7254429,-73.84859,1.73
The Dermatology Specialists,doctors,doctors,doctor,,100-26 Queens Boulevard,,40.726467,-73.8532186,1.74
Cohen Medical Practice,doctors,doctors,doctor,,98-76 Queens Boulevard,Rego Park,40.7272278,-73.8556612,1.74
Fairview Nursing Center,social_facility,social_facility,,nursing_home,69-70 Grand Central Parkway Service Road West,,40.7246647,-73.8382292,1.74
Hollywood Dental,dentist,dentist,dentist,,97-50 Queens Boulevard,,40.7283652,-73.8584443,1.75
Dr Lee Schwartz,dentist,dentist,dentist,,,,40.7249774,-73.8476247,1.75
CVS Pharmacy,pharmacy,pharmacy,pharmacy,,100-02 Queens Boulevard,Forest Hills,40.7265367,-73.8538354,1.75
Anteka,pharmacy,pharmacy,pharmacy,,97-06 Queens Boulevard,,40.7290153,-73.8601613,1.76
P.S. 022,school,school,,,,,40.761671,-73.8110497,1.76
NYC Oral Surgery,dentist,dentist,dentist,,Queens Boulevard,,40.7255971,-73.8515403,1.76
Health Guard Pharmacy,pharmacy,pharmacy,pharmacy,,33-13 Junction Boulevard,,40.7564069,-73.8732642,1.76
Yeshiva of Central Queens,school,school,,,,,40.7300868,-73.8192714,1.77
Public School 163,school,school,,,,,40.7411183,-73.8087585,1.78
Duane Reade,pharmacy,pharmacy,pharmacy,,,,40.7298081,-73.8627775,1.8
Colony Pharmacy,pharmacy,pharmacy,pharmacy,,103-19 Queens Boulevard,,40.7246411,-73.8495734,1.8
Premier Vascular Vein Treatment,doctors,doctors,doctor,,37-12 92nd Street,Queens,40.7502687,-73.8752404,1.8
Presidental Care,dentist,dentist,dentist,,95-44 Queens Boulevard,,40.7300874,-73.8631352,1.8
Public School 149 - Christa McAuliffe,school,school,,,93-11 34th Avenue,,40.7552823,-73.8744265,1.8
ReadyRX,pharmacy,pharmacy,pharmacy,,,,40.7304552,-73.8641583,1.81
Y & E Elite,dentist,dentist,dentist,,104-33 Queens Boulevard,,40.7243772,-73.8492682,1.81
Corona Hands-On Therapy,physiotherapist,,physiotherapist,,90-46 Corona Avenue,,40.7421259,-73.8739106,1.81
Dr. Elina Kats DDS,dentist,dentist,dentist,,92-11 35th Avenue,,40.7529036,-73.8752742,1.82
Walgreens,pharmacy,pharmacy,pharmacy,,104-25 Queens Boulevard,Forest Hills,40.7239482,-73.8479855,1.83
Allure Dental,dentist,dentist,dentist,,Queens Boulevard,,40.7240924,-73.8488554,1.83
Queens Acupuncture Center,alternative,,alternative,,90-34 Corona Avenue,,40.7418895,-73.8742325,1.83
Saint Gabriel's School,school,school,,,26-25 97th Street,,40.7616618,-73.8719581,1.83
Renaissance Dental,dentist,dentist,dentist,,104-39 Queens Boulevard,,40.7236602,-73.8478501,1.84
Three J’s Pharmacy,pharmacy,pharmacy,pharmacy,,90-12 Elmhurst Avenue,,40.7487078,-73.8759705,1.84
Public School 165,school,school,,,,,40.7296272,-73.8177433,1.84
"Advanced Walk In Foot Care, PLLC",doctors,doctors,doctor,,93-14 Queens Boulevard,,40.731308,-73.8664246,1.85
Forest Hills Orthopedic Group,physiotherapist,,physiotherapist,,69-67 108th Street,,40.7232339,-73.8444134,1.85
Corona Family Health,clinic,clinic,clinic,,90-24 Corona Avenue,,40.7417547,-73.8744142,1.85
Dr M L Ferstendig,dentist,dentist,dentist,,69-40 Yellowstone Boulevard,,40.7234041,-73.8468496,1.85
Newtown High School,school,school,,,,,40.7408262,-73.8741222,1.85
I.S. 227 - Louis Armstrong Middle School,school,school,,,,,40.757671,-73.8746152,1.85
Dr Andrew Fundo,dentist,dentist,dentist,,70-11 108th Street,,40.7228599,-73.8442231,1.87
Farmacia Al Kosto,pharmacy,pharmacy,pharmacy,,37-65 90th Street,,40.748632,-73.8764007,1.87
Gaga Pharmacy,pharmacy,pharmacy,pharmacy,,90-05 Corona Avenue,,40.7417314,-73.8749507,1.87
Roosevelt Cardiovascular Diagnostic,doctors,doctors,doctor,,37-51A 90th Street,,40.7490583,-73.8764784,1.87
D&S Dental Center,dentist,dentist,dentist,,,,40.7499886,-73.876618,1.87
Vida Care Pharmacy,pharmacy,pharmacy,pharmacy,,37-64 90th Street,,40.7487722,-73.8766895,1.88
CityMD,clinic,clinic,clinic,,91-19 Queens Boulevard,Elmhurst,40.733763,-73.8698343,1.88
Ivy Day School,school,school,,,70-44 Kissena Boulevard,,40.7306299,-73.8152345,1.88
